               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.032054,            0.013864,                   0,             0.84691,             0.74596,             0.83496,             0.46176,            0.039347,            0.025798,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.032001,            0.013963,                   0,             0.85964,             0.72614,             0.82518,             0.45522,             0.03942,            0.027267,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.031878,            0.014093,                   0,              0.8293,             0.72614,             0.81501,             0.44835,            0.039409,            0.028111,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.032117,            0.014085,                   0,             0.82557,             0.76652,             0.83689,             0.45973,            0.039673,            0.027472,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.031953,            0.014161,                   0,             0.80212,             0.74449,             0.81843,              0.4526,              0.0398,            0.026832,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.031498,             0.01394,                   0,             0.80998,             0.74449,             0.81929,             0.44405,            0.040026,             0.02813,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.032185,            0.014185,                   0,             0.85986,             0.75233,             0.83301,              0.4576,            0.039087,            0.027756,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.031807,            0.014014,                   0,             0.80889,             0.77166,             0.82824,             0.44753,             0.03884,             0.02623,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.032587,            0.014403,                   0,             0.70863,             0.60646,             0.70466,             0.35587,            0.049023,            0.030237,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.031884,            0.013935,                   0,             0.85083,             0.73707,             0.82796,             0.45455,            0.039298,            0.027049,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.032522,            0.014423,                   0,             0.82039,              0.7467,             0.82329,             0.45453,            0.039474,            0.027555,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.031811,            0.014089,                   0,             0.81742,             0.77313,             0.83068,              0.4619,            0.039435,            0.026846,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.031303,             0.01398,                   0,             0.81504,             0.76677,             0.83034,             0.46108,            0.039066,            0.027533,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.032292,            0.014018,                   0,             0.81168,             0.75184,             0.82735,             0.45466,            0.039138,            0.026804,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.031814,             0.01415,                   0,             0.80177,             0.76025,             0.82263,             0.45659,            0.038943,            0.028058,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.031486,            0.014037,                   0,             0.82014,             0.75991,              0.8318,             0.45466,            0.039314,            0.026582,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.032439,            0.014232,                   0,             0.82024,             0.75184,              0.8272,             0.44722,            0.039555,            0.027285,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.031727,            0.014029,                   0,             0.83272,             0.75658,             0.83734,             0.45713,            0.038768,            0.027572,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.032427,            0.014312,                   0,             0.83091,             0.76851,             0.84003,             0.45922,            0.038629,            0.027288,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.031352,            0.013927,                   0,             0.82743,             0.76285,             0.84057,             0.46204,            0.038516,            0.027311,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.031718,            0.014056,                   0,             0.83242,             0.76138,             0.83442,             0.45768,             0.03877,            0.027942,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.031599,            0.014011,                   0,             0.84398,             0.75771,             0.83979,             0.46045,            0.038368,            0.027144,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.031555,            0.014017,                   0,             0.84907,             0.74763,             0.83574,             0.46283,            0.038232,            0.027463,                   0,             0.00802,             0.00802,             0.00802
